P,27,1,122
P,213,1,94
P,225,1,85
P,230,1,19
P,70,1,60
P,38,1,94
P,77,1,104
P,75,1,106
P,99,1,53
P,26,1,98
P,164,1,34
P,162,1,35
P,156,1,120
P,155,1,42
P,39,1,15
P,155,1,47
P,29,1,102
P,78,1,106
P,218,1,35
P,215,1,48
P,22,1,143
P,99,1,37
P,15,1,33
P,28,1,74
P,193,1,105
P,172,1,8
P,72,1,109
P,158,1,123
P,218,1,128
P,85,1,129
P,227,1,39
P,19,1,70
P,79,1,58
P,167,1,17
P,226,1,100
P,84,1,129
P,30,1,107
P,37,1,34
P,221,1,128
P,227,1,99
P,164,1,136
P,59,1,60
P,69,1,57
P,155,1,124
P,155,1,54
P,227,1,125
P,62,1,62
P,175,1,18
P,166,1,10
P,102,1,43
P,236,1,33
P,76,1,105
P,179,1,102
P,209,1,136
P,29,1,87
P,28,1,33
P,234,1,36
P,106,1,45
P,67,1,119
P,217,1,133
P,168,1,145
P,183,1,117
P,185,1,143
P,224,1,101
P,43,1,144
P,29,1,42
P,45,1,137
P,89,1,36
P,222,1,85
P,19,1,38
P,153,1,38
P,230,1,138
P,26,1,83
P,187,1,110
P,71,1,140
P,64,1,60
P,29,1,127
P,66,1,102
P,22,1,111
P,227,1,17
P,186,1,110
P,182,1,60
P,144,1,45
P,32,1,15
P,33,1,106
P,92,1,131
P,202,1,51
P,160,1,51
P,89,1,116
P,61,1,109
P,232,1,108
P,69,1,102
P,169,1,147
P,229,1,99
P,11,1,119
P,75,1,146
P,183,1,116
P,96,1,52
P,177,1,101
P,181,1,142
P,161,1,116
P,229,1,74
P,81,1,14
P,159,1,124
P,26,1,101
P,233,1,70
P,231,1,113
P,24,1,125
P,227,1,142
P,26,1,78
P,225,1,122
P,25,1,39
P,151,1,50
P,36,1,19
P,86,1,142
P,41,1,135
P,192,1,61
P,40,1,138
P,191,1,134
P,96,1,118
P,62,1,121
P,35,1,133
P,80,1,12
P,151,1,39
P,92,1,140
P,195,1,53
P,58,1,107
P,71,1,59
P,16,1,114
P,180,1,140
P,79,1,18
P,30,1,126
P,37,1,99
P,188,1,111
P,229,1,103
P,230,1,50
P,173,1,106
P,153,1,32
P,61,1,134
P,66,1,114
P,204,1,138
P,210,1,138
P,107,1,47
P,31,1,81
P,212,1,139
P,33,1,85
P,221,1,30
P,224,1,97
P,87,1,140
P,153,1,44
P,185,1,114
P,92,1,32
P,45,1,52
P,213,1,98
P,232,1,38
P,85,1,10
P,36,1,44
P,38,1,98
P,22,1,35
P,228,1,100
P,226,1,78
P,29,1,43
P,26,1,82
P,95,1,54
P,192,1,119
P,223,1,78
P,186,1,57
P,227,1,105
P,29,1,88
P,213,1,96
P,218,1,133
P,34,1,133
P,233,1,52
P,30,1,19
P,21,1,55
P,101,1,40
P,74,1,14
P,182,1,102
P,57,1,53
P,24,1,21
P,217,1,33
P,171,1,143
P,30,1,127
P,82,1,146
P,99,1,48
P,47,1,47
P,20,1,112
P,223,1,92
P,90,1,137
P,42,1,141
P,204,1,48
P,223,1,76
P,19,1,139
P,228,1,112
P,221,1,79
P,171,1,144
P,45,1,47
P,210,1,51
P,228,1,34
P,61,1,139
P,169,1,10
P,70,1,144
P,230,1,96
P,25,1,54
P,223,1,43
P,95,1,137
P,50,1,121
P,22,1,18
P,72,1,110
P,88,1,34
P,76,1,17
P,214,1,133
P,30,1,88
P,24,1,137
P,76,1,10
P,223,1,110
P,35,1,19
P,95,1,38
P,68,1,116
P,88,1,133
P,185,1,119
P,174,1,142
P,22,1,122
P,75,1,142
P,98,1,37
P,226,1,85
P,223,1,53
P,65,1,106
P,27,1,38
P,240,1,115
P,29,1,133
P,16,1,143
P,65,1,113
P,229,1,19
P,100,1,44
P,178,1,57
P,64,1,59
P,20,1,72
P,166,1,142
P,186,1,118
P,145,1,47
P,58,1,120
P,178,1,144
P,225,1,110
P,41,1,97
P,170,1,60
P,232,1,93
P,204,1,143
P,38,1,45
P,227,1,21
P,192,1,106
P,225,1,97
P,70,1,58
P,183,1,107
P,236,1,35
P,17,1,140
P,231,1,54
P,10,1,116
P,232,1,127
P,146,1,44
P,63,1,139
P,37,1,44
P,215,1,84
P,35,1,108
P,215,1,99
P,25,1,16
P,23,1,50
P,166,1,129
P,88,1,138
P,227,1,16
P,21,1,123
P,223,1,17
P,23,1,16
P,38,1,15
P,77,1,142
P,158,1,132
P,214,1,49
P,40,1,47
P,64,1,62
P,90,1,132
P,29,1,97
P,91,1,33
P,189,1,105
P,67,1,109
P,29,1,103
P,32,1,99
P,71,1,105
P,33,1,98
P,23,1,92
P,33,1,82
P,93,1,118
P,86,1,131
P,218,1,79
P,230,1,139
P,167,1,142
P,177,1,102
P,193,1,134
P,39,1,143
P,215,1,85
P,220,1,108
P,158,1,118
P,221,1,92
P,211,1,95
P,16,1,113
P,26,1,94
P,217,1,110
P,233,1,54
P,230,1,95
P,74,1,100
P,82,1,19
P,229,1,94
P,22,1,78
P,30,1,32
P,187,1,62
P,231,1,92
P,25,1,78
P,60,1,139
P,215,1,46
P,211,1,51
P,221,1,134
P,213,1,15
P,230,1,38
P,23,1,112
P,225,1,98
P,13,1,119
P,151,1,124
P,219,1,15
P,98,1,53
P,151,1,40
P,231,1,70
P,164,1,32
P,27,1,30
P,72,1,140
P,180,1,119
P,95,1,129
P,170,1,11
P,161,1,132
P,25,1,50
P,28,1,104
P,174,1,16
P,87,1,12
P,58,1,136
P,25,1,53
P,222,1,88
P,28,1,76
P,22,1,77
P,25,1,32
P,24,1,111
P,58,1,105
P,223,1,109
P,178,1,105
P,33,1,100
P,35,1,84
P,207,1,51
P,200,1,118
P,86,1,13
P,87,1,132
P,216,1,133
P,230,1,51
P,26,1,100
P,167,1,9
P,205,1,52
P,154,1,48
P,180,1,102
P,99,1,43
P,177,1,144
P,211,1,135
P,61,1,105
P,79,1,9
P,17,1,116
P,204,1,144
P,31,1,133
P,72,1,145
P,71,1,117
P,33,1,99
P,156,1,132
P,35,1,98
P,224,1,127
P,155,1,126
P,233,1,17
P,93,1,132
P,211,1,98
P,199,1,121
P,233,1,117
P,157,1,38
P,62,1,139
P,226,1,55
P,221,1,94
P,67,1,140
P,180,1,58
P,93,1,34
P,30,1,82
P,183,1,111
P,41,1,143
P,64,1,140
P,162,1,36
P,20,1,75
P,17,1,71
P,30,1,96
P,167,1,140
P,167,1,8
P,224,1,85
P,184,1,56
P,59,1,135
P,56,1,54
P,59,1,138
P,93,1,39
P,35,1,83
P,30,1,108
P,26,1,72
P,29,1,19
P,214,1,94
P,218,1,99
P,33,1,107
P,88,1,32
P,220,1,97
P,191,1,137
P,98,1,36
P,89,1,132
P,33,1,129
P,172,1,18
P,216,1,16
P,186,1,106
P,25,1,35
P,67,1,98
P,60,1,54
P,51,1,121
P,172,1,10
P,27,1,97
P,222,1,101
P,20,1,38
P,208,1,145
P,66,1,145
P,90,1,37
P,22,1,103
P,232,1,139
P,34,1,108
P,220,1,102
P,157,1,120
P,79,1,107
P,27,1,35
P,231,1,139
P,162,1,138
P,157,1,125
P,209,1,142
P,187,1,114
P,88,1,121
P,46,1,48
P,35,1,86
P,192,1,54
P,178,1,61
P,47,1,143
P,76,1,109
P,226,1,53
P,95,1,126
P,21,1,19
P,85,1,139
P,230,1,112
P,62,1,105
P,39,1,18
P,15,1,145
P,185,1,113
P,224,1,42
P,166,1,8
P,153,1,53
P,73,1,110
P,60,1,137
P,78,1,58
P,81,1,146
P,218,1,80
P,91,1,131
P,93,1,122
P,187,1,104
P,31,1,108
P,92,1,120
